sig_id,pattern,severity,family
SIG001,rapid_rename,HIGH,Ransomware
SIG002,entropy_spike,HIGH,Ransomware
sig_id,pattern,severity,family
SIG001,rapid_rename,HIGH,Ransomware
SIG002,entropy_spike,HIGH,Ransomware
sig_id,pattern,severity,family
SIG001,rapid_rename,HIGH,Ransomware
SIG002,entropy_spike,HIGH,Ransomware
sig_id,pattern,severity,family
SIG001,rapid_rename,HIGH,Ransomware
SIG002,entropy_spike,HIGH,Ransomware
sig_id,pattern,severity,family
SIG001,rapid_rename,HIGH,Ransomware
SIG002,entropy_spike,HIGH,Ransomware
sig_id,pattern,severity,family
SIG001,rapid_rename,HIGH,Ransomware
SIG002,entropy_spike,HIGH,Ransomware
sig_id,pattern,severity,family
SIG001,rapid_rename,HIGH,Ransomware
SIG002,entropy_spike,HIGH,Ransomware
sig_id,pattern,severity,family
SIG001,rapid_rename,HIGH,Ransomware
SIG002,entropy_spike,HIGH,Ransomware
